model,layer,format,auroc,n
Qwen/Qwen2.5-7B-Instruct,1,letter_spaced,0.8737377622377621,1072
Qwen/Qwen2.5-7B-Instruct,2,letter_spaced,0.9044160839160837,1072
Qwen/Qwen2.5-7B-Instruct,3,letter_spaced,0.8284195804195804,1072
Qwen/Qwen2.5-7B-Instruct,4,letter_spaced,0.7917412587412587,1072
Qwen/Qwen2.5-7B-Instruct,5,letter_spaced,0.879986013986014,1072
Qwen/Qwen2.5-7B-Instruct,6,letter_spaced,0.9074475524475525,1072
Qwen/Qwen2.5-7B-Instruct,7,letter_spaced,0.9401713286713287,1072
Qwen/Qwen2.5-7B-Instruct,8,letter_spaced,0.9509300699300699,1072
Qwen/Qwen2.5-7B-Instruct,9,letter_spaced,0.9723601398601398,1072
Qwen/Qwen2.5-7B-Instruct,10,letter_spaced,0.9743006993006993,1072
Qwen/Qwen2.5-7B-Instruct,11,letter_spaced,0.9607027972027972,1072
Qwen/Qwen2.5-7B-Instruct,12,letter_spaced,0.9718741258741259,1072
Qwen/Qwen2.5-7B-Instruct,13,letter_spaced,0.9719615384615384,1072
Qwen/Qwen2.5-7B-Instruct,14,letter_spaced,0.9633671328671328,1072
Qwen/Qwen2.5-7B-Instruct,15,letter_spaced,0.9864370629370629,1072
Qwen/Qwen2.5-7B-Instruct,16,letter_spaced,0.9948671328671329,1072
Qwen/Qwen2.5-7B-Instruct,17,letter_spaced,0.9948006993006994,1072
Qwen/Qwen2.5-7B-Instruct,18,letter_spaced,0.9966888111888113,1072
Qwen/Qwen2.5-7B-Instruct,19,letter_spaced,0.9970559440559441,1072
Qwen/Qwen2.5-7B-Instruct,20,letter_spaced,0.9972727272727272,1072
Qwen/Qwen2.5-7B-Instruct,21,letter_spaced,0.9974335664335664,1072
Qwen/Qwen2.5-7B-Instruct,22,letter_spaced,0.9978601398601399,1072
Qwen/Qwen2.5-7B-Instruct,23,letter_spaced,0.9956258741258741,1072
Qwen/Qwen2.5-7B-Instruct,24,letter_spaced,0.9889755244755245,1072
Qwen/Qwen2.5-7B-Instruct,25,letter_spaced,0.9751363636363637,1072
Qwen/Qwen2.5-7B-Instruct,26,letter_spaced,0.9545944055944056,1072
Qwen/Qwen2.5-7B-Instruct,27,letter_spaced,0.9381608391608391,1072
Qwen/Qwen2.5-7B-Instruct,28,letter_spaced,0.9383881118881118,1072
Qwen/Qwen2.5-7B-Instruct,0,spanish,0.5,1072
Qwen/Qwen2.5-7B-Instruct,1,spanish,0.9040384615384616,1072
Qwen/Qwen2.5-7B-Instruct,2,spanish,0.9313181818181818,1072
Qwen/Qwen2.5-7B-Instruct,3,spanish,0.9331433566433568,1072
Qwen/Qwen2.5-7B-Instruct,4,spanish,0.9211818181818184,1072
Qwen/Qwen2.5-7B-Instruct,5,spanish,0.9552727272727272,1072
Qwen/Qwen2.5-7B-Instruct,6,spanish,0.9615524475524476,1072
Qwen/Qwen2.5-7B-Instruct,7,spanish,0.9662097902097904,1072
Qwen/Qwen2.5-7B-Instruct,8,spanish,0.9786888111888112,1072
Qwen/Qwen2.5-7B-Instruct,9,spanish,0.9840734265734266,1072
Qwen/Qwen2.5-7B-Instruct,10,spanish,0.9855279720279722,1072
Qwen/Qwen2.5-7B-Instruct,11,spanish,0.9869195804195804,1072
Qwen/Qwen2.5-7B-Instruct,12,spanish,0.9915244755244756,1072
Qwen/Qwen2.5-7B-Instruct,13,spanish,0.9941888111888112,1072
Qwen/Qwen2.5-7B-Instruct,14,spanish,0.9962587412587413,1072
Qwen/Qwen2.5-7B-Instruct,15,spanish,0.9971748251748253,1072
Qwen/Qwen2.5-7B-Instruct,16,spanish,0.9981468531468533,1072
Qwen/Qwen2.5-7B-Instruct,17,spanish,0.9981188811188813,1072
Qwen/Qwen2.5-7B-Instruct,18,spanish,0.9977062937062936,1072
Qwen/Qwen2.5-7B-Instruct,19,spanish,0.9979405594405596,1072
Qwen/Qwen2.5-7B-Instruct,20,spanish,0.9977272727272728,1072
Qwen/Qwen2.5-7B-Instruct,21,spanish,0.9967412587412589,1072
Qwen/Qwen2.5-7B-Instruct,22,spanish,0.9961713286713288,1072
Qwen/Qwen2.5-7B-Instruct,23,spanish,0.9952727272727272,1072
Qwen/Qwen2.5-7B-Instruct,24,spanish,0.9923461538461538,1072
Qwen/Qwen2.5-7B-Instruct,25,spanish,0.9911958041958042,1072
Qwen/Qwen2.5-7B-Instruct,26,spanish,0.9903006993006992,1072
Qwen/Qwen2.5-7B-Instruct,27,spanish,0.9917587412587412,1072
Qwen/Qwen2.5-7B-Instruct,28,spanish,0.9939965034965036,1072
