model,layer,format,auroc,n
Qwen/Qwen2.5-7B-Instruct,18,chinese,0.9993741258741259,1072
Qwen/Qwen2.5-7B-Instruct,18,japanese,0.9956188811188811,1072
Qwen/Qwen2.5-7B-Instruct,18,spanish,0.9977062937062937,1072
Qwen/Qwen2.5-7B-Instruct,19,english,1.0,215
Qwen/Qwen2.5-7B-Instruct,19,chinese,0.9993391608391609,1072
Qwen/Qwen2.5-7B-Instruct,19,japanese,0.9958671328671329,1072
Qwen/Qwen2.5-7B-Instruct,19,spanish,0.9979405594405595,1072
Qwen/Qwen2.5-7B-Instruct,20,english,1.0,215
Qwen/Qwen2.5-7B-Instruct,20,chinese,0.9990874125874126,1072
Qwen/Qwen2.5-7B-Instruct,20,japanese,0.9955699300699301,1072
Qwen/Qwen2.5-7B-Instruct,20,spanish,0.9977272727272727,1072
Qwen/Qwen2.5-7B-Instruct,21,english,1.0,215
Qwen/Qwen2.5-7B-Instruct,21,chinese,0.9985244755244754,1072
Qwen/Qwen2.5-7B-Instruct,21,japanese,0.9946713286713287,1072
Qwen/Qwen2.5-7B-Instruct,21,spanish,0.9967412587412587,1072
Qwen/Qwen2.5-7B-Instruct,22,english,1.0,215
Qwen/Qwen2.5-7B-Instruct,22,chinese,0.9983181818181819,1072
Qwen/Qwen2.5-7B-Instruct,22,japanese,0.9939965034965035,1072
Qwen/Qwen2.5-7B-Instruct,22,spanish,0.9961713286713287,1072
Qwen/Qwen2.5-7B-Instruct,23,english,1.0,215
Qwen/Qwen2.5-7B-Instruct,23,chinese,0.9981818181818181,1072
Qwen/Qwen2.5-7B-Instruct,23,japanese,0.9937202797202798,1072
Qwen/Qwen2.5-7B-Instruct,23,spanish,0.9952727272727272,1072
Qwen/Qwen2.5-7B-Instruct,24,english,0.9998260869565218,215
Qwen/Qwen2.5-7B-Instruct,24,chinese,0.9973776223776224,1072
Qwen/Qwen2.5-7B-Instruct,24,japanese,0.9901433566433567,1072
Qwen/Qwen2.5-7B-Instruct,24,spanish,0.9923461538461538,1072
Qwen/Qwen2.5-7B-Instruct,25,english,0.9995652173913043,215
Qwen/Qwen2.5-7B-Instruct,25,chinese,0.9967027972027971,1072
Qwen/Qwen2.5-7B-Instruct,25,japanese,0.9895979020979022,1072
Qwen/Qwen2.5-7B-Instruct,25,spanish,0.9911958041958042,1072
Qwen/Qwen2.5-7B-Instruct,26,english,0.9997391304347826,215
Qwen/Qwen2.5-7B-Instruct,26,chinese,0.9962692307692308,1072
Qwen/Qwen2.5-7B-Instruct,26,japanese,0.9873181818181819,1072
Qwen/Qwen2.5-7B-Instruct,26,spanish,0.9903006993006993,1072
Qwen/Qwen2.5-7B-Instruct,27,english,0.9999130434782608,215
Qwen/Qwen2.5-7B-Instruct,27,chinese,0.996979020979021,1072
Qwen/Qwen2.5-7B-Instruct,27,japanese,0.9885734265734265,1072
Qwen/Qwen2.5-7B-Instruct,27,spanish,0.9917587412587412,1072
Qwen/Qwen2.5-7B-Instruct,28,english,0.9997391304347826,215
Qwen/Qwen2.5-7B-Instruct,28,chinese,0.9965524475524477,1072
Qwen/Qwen2.5-7B-Instruct,28,japanese,0.9874335664335665,1072
Qwen/Qwen2.5-7B-Instruct,28,spanish,0.9939965034965035,1072
